frame,altitude,airspeed,direction
8493,16.83,28.3,21.7
8494,16.84,28.3,21.7
8495,16.85,28.2,21.8
8496,16.86,28.2,21.8
8497,16.87,28.1,21.8
8498,16.88,28.1,21.8
8499,16.88,28,21.9
8500,16.88,28,22
9058,15.2,26.7,15.7
9059,15.18,26.7,15.7
9100,14.9,28.5,15.1
9101,14.9,28.5,15.1
9158,14.47,31,12.9
9194,14.15,32.5,13.2
9210,14.0,33,13.2
9205,14.06,33.1,13.2
9206,14.05,33.0,13.2
9207,14.05,33.0,13.2
9208,14.05,33.0,13.2
9209,14.05,33.0,13.2
9210,14.05,33.0,13.2
9211,14,33.5,13.18
9212,14,33.5,13.18
9213,14,33.5,13.18
9214,14,33.5,13.18
9215,13.95,34,13.17
9216,13.95,34,13.17
9217,13.92,34,13.17
9218,13.91,34,13.17
9219,13.91,34,13.17
9220,13.9,34,13.17
9230,13.8,34.8,13.08
9700,13.35,38.9,12.5
9310,13.1,39,13.5
9311,13.10,39.02,13.54
9312,13.09,39.04,13.57
9313,13.09,39.06,13.61
9314,13.09,39.08,13.65
9315,13.09,39.09,13.68
9316,13.08,39.11,13.72
9317,13.08,39.13,13.76
9318,13.08,39.15,13.79
9319,13.08,39.17,13.83
9320,13.07,39.19,13.87
9321,13.07,39.21,13.91
9322,13.07,39.23,13.94
9323,13.07,39.24,13.98
9324,13.06,39.26,14.02
9325,13.06,39.28,14.05
9326,13.06,39.30,14.09
9327,13.06,39.32,14.13
9328,13.05,39.34,14.16
9329,13.05,39.36,14.20
9330,13.05,39.38,14.24
9331,13.05,39.39,14.27
9332,13.04,39.41,14.31
9333,13.04,39.43,14.35
9334,13.04,39.45,14.38
9335,13.04,39.47,14.42
9336,13.04,39.49,14.46
9337,13.03,39.51,14.50
9338,13.03,39.52,14.53
9339,13.03,39.54,14.57
9340,13.03,39.56,14.61
9341,13.02,39.58,14.64
9342,13.02,39.60,14.68
9343,13.02,39.62,14.72
9344,13.02,39.64,14.75
9345,13.01,39.66,14.79
9346,13.01,39.67,14.83
9347,13.01,39.69,14.86
9348,13.01,39.71,14.90
9349,13.00,39.73,14.94
9350,13.00,39.75,14.97
9351,13.00,39.77,15.01
9352,12.99,39.79,15.05
9353,12.99,39.81,15.09
9354,12.99,39.83,15.12
9355,12.99,39.84,15.16
9356,12.98,39.86,15.20
9357,12.98,39.88,15.23
9358,12.98,39.90,15.27
9359,12.98,39.92,15.31
9360,12.97,39.94,15.34
9361,12.97,39.96,15.38
9362,12.97,39.98,15.42
9363,12.97,39.99,15.45
9364,12.96,40.01,15.49
9365,12.96,40.03,15.53
9366,12.96,40.05,15.56
9367,12.96,40.07,15.60
9368,12.96,40.09,15.64
9369,12.95,40.11,15.68
9370,12.95,40.12,15.71
9371,12.95,40.14,15.75
9372,12.95,40.16,15.79
9373,12.94,40.18,15.82
9374,12.94,40.20,15.86
9375,12.94,40.22,15.90
9376,12.94,40.24,15.93
9377,12.93,40.26,15.97
9378,12.93,40.27,16.01
9379,12.93,40.29,16.04
9380,12.93,40.31,16.08
9381,12.92,40.33,16.12
9382,12.92,40.35,16.16
9383,12.92,40.37,16.19
9384,12.92,40.39,16.23
9385,12.91,40.41,16.27
9386,12.91,40.42,16.30
9387,12.91,40.44,16.34
9388,12.91,40.46,16.38
9389,12.90,40.48,16.41
9390,12.90,40.50,16.45
9390,12.90,40.50,16.45
9391,12.90,40.51,16.48
9392,12.90,40.52,16.51
9393,12.90,40.53,16.54
9394,12.90,40.54,16.56
9395,12.91,40.56,16.59
9396,12.91,40.57,16.61
9397,12.91,40.58,16.63
9398,12.91,40.59,16.66
9399,12.91,40.60,16.68
9400,12.91,40.61,16.70
9401,12.91,40.63,16.71
9402,12.92,40.64,16.73
9403,12.92,40.65,16.75
9404,12.92,40.66,16.76
9405,12.92,40.67,16.78
9406,12.92,40.69,16.79
9407,12.92,40.70,16.80
9408,12.93,40.71,16.81
9409,12.93,40.72,16.82
9410,12.93,40.74,16.83
9411,12.93,40.75,16.84
9412,12.93,40.76,16.84
9413,12.94,40.77,16.85
9414,12.94,40.79,16.85
9415,12.94,40.80,16.86
9416,12.94,40.81,16.86
9417,12.95,40.83,16.86
9418,12.95,40.84,16.86
9419,12.95,40.85,16.86
9420,12.95,40.87,16.86
9421,12.96,40.88,16.86
9422,12.96,40.89,16.86
9423,12.96,40.91,16.85
9424,12.96,40.92,16.85
9425,12.97,40.93,16.84
9426,12.97,40.95,16.83
9427,12.97,40.96,16.83
9428,12.97,40.97,16.82
9429,12.98,40.99,16.81
9430,12.98,41.00,16.80
9431,12.98,41.01,16.79
9432,12.99,41.03,16.78
9433,12.99,41.04,16.77
9434,12.99,41.05,16.75
9435,12.99,41.07,16.74
9436,13.00,41.08,16.72
9437,13.00,41.10,16.71
9438,13.00,41.11,16.69
9439,13.01,41.12,16.68
9440,13.01,41.14,16.66
9441,13.01,41.15,16.64
9442,13.01,41.16,16.62
9443,13.02,41.18,16.60
9444,13.02,41.19,16.58
9445,13.02,41.20,16.56
9446,13.03,41.22,16.54
9447,13.03,41.23,16.52
9448,13.03,41.25,16.49
9449,13.03,41.26,16.47
9450,13.04,41.27,16.44
9451,13.04,41.29,16.42
9452,13.04,41.30,16.39
9453,13.05,41.31,16.37
9454,13.05,41.33,16.34
9455,13.05,41.34,16.31
9456,13.06,41.35,16.29
9457,13.06,41.37,16.26
9458,13.06,41.38,16.23
9459,13.06,41.39,16.20
9460,13.07,41.41,16.17
9461,13.07,41.42,16.14
9462,13.07,41.43,16.11
9463,13.07,41.45,16.08
9464,13.08,41.46,16.05
9465,13.08,41.47,16.01
9466,13.08,41.48,15.98
9467,13.09,41.50,15.95
9468,13.09,41.51,15.91
9469,13.09,41.52,15.88
9470,13.09,41.54,15.85
9471,13.10,41.55,15.81
9472,13.10,41.56,15.78
9473,13.10,41.57,15.74
9474,13.10,41.59,15.70
9475,13.11,41.60,15.67
9476,13.11,41.61,15.63
9477,13.11,41.62,15.59
9478,13.11,41.63,15.56
9479,13.11,41.65,15.52
9480,13.12,41.66,15.48
9481,13.12,41.67,15.44
9482,13.12,41.68,15.41
9483,13.12,41.69,15.37
9484,13.12,41.70,15.33
9485,13.13,41.72,15.29
9486,13.13,41.73,15.25
9487,13.13,41.74,15.21
9488,13.13,41.75,15.17
9489,13.13,41.76,15.13
9490,13.13,41.77,15.09
9491,13.14,41.78,15.05
9492,13.14,41.79,15.01
9493,13.14,41.80,14.97
9494,13.14,41.81,14.92
9495,13.14,41.82,14.88
9496,13.14,41.83,14.84
9497,13.14,41.84,14.80
9498,13.14,41.85,14.76
9499,13.15,41.86,14.72
9500,13.15,41.87,14.67
9501,13.15,41.88,14.63
9502,13.15,41.89,14.59
9503,13.15,41.90,14.55
9504,13.15,41.91,14.51
9505,13.15,41.92,14.46
9506,13.15,41.92,14.42
9507,13.15,41.93,14.38
9508,13.15,41.94,14.34
9509,13.15,41.95,14.30
9510,13.15,41.96,14.25
9511,13.15,41.96,14.21
9512,13.15,41.97,14.17
9513,13.15,41.98,14.13
9514,13.15,41.99,14.08
9515,13.15,41.99,14.04
9516,13.15,42.00,14.00
9517,13.15,42.01,13.96
9518,13.15,42.01,13.92
9519,13.15,42.02,13.87
9520,13.15,42.03,13.83
9521,13.15,42.03,13.79
9522,13.15,42.04,13.75
9523,13.14,42.04,13.71
9524,13.14,42.05,13.67
9525,13.14,42.05,13.63
9526,13.14,42.06,13.58
9527,13.14,42.07,13.54
9528,13.14,42.07,13.50
9529,13.14,42.08,13.46
9530,13.13,42.08,13.42
9531,13.13,42.09,13.38
9532,13.13,42.09,13.34
9533,13.13,42.10,13.30
9534,13.13,42.10,13.26
9535,13.13,42.11,13.22
9536,13.12,42.11,13.18
9537,13.12,42.12,13.14
9538,13.12,42.13,13.10
9539,13.12,42.13,13.06
9540,13.12,42.14,13.03
9541,13.12,42.14,12.99
9542,13.11,42.15,12.95
9543,13.11,42.15,12.91
9544,13.11,42.16,12.87
9545,13.11,42.17,12.84
9546,13.11,42.17,12.80
9547,13.11,42.18,12.76
9548,13.10,42.19,12.72
9549,13.10,42.19,12.69
9550,13.10,42.20,12.65
9551,13.10,42.21,12.61
9552,13.10,42.21,12.58
9553,13.09,42.22,12.54
9554,13.09,42.23,12.51
9555,13.09,42.24,12.47
9556,13.09,42.25,12.44
9557,13.09,42.25,12.40
9558,13.09,42.26,12.37
9559,13.09,42.27,12.33
9560,13.08,42.28,12.30
9561,13.08,42.29,12.26
9562,13.08,42.30,12.23
9563,13.08,42.31,12.20
9564,13.08,42.32,12.16
9565,13.08,42.33,12.13
9566,13.08,42.33,12.10
9567,13.07,42.34,12.06
9568,13.07,42.35,12.03
9569,13.07,42.36,12.00
9570,13.07,42.37,11.97
9571,13.07,42.38,11.93
9572,13.07,42.39,11.90
9573,13.07,42.40,11.87
9574,13.06,42.41,11.84
9575,13.06,42.42,11.81
9576,13.06,42.42,11.78
9577,13.06,42.43,11.74
9578,13.06,42.44,11.71
9579,13.06,42.45,11.68
9580,13.06,42.46,11.65
