frame,altitude,airspeed,direction
2044,26.3650912484735,36.28337722682483,33.50219351557114
2045,26.176681740791334,36.0227863482906,33.26314362474306
2046,25.883881573953513,35.61869436487027,32.891422361695454
2047,25.51068319895489,35.10418455075672,32.41749580579211
2048,25.081392230452078,34.51276019396352,31.872223437061994
2049,24.61972515396661,33.877099795906084,31.285712394082456
2050,24.148001844671736,33.227943783029396,30.686292794909484
2051,23.686458427291083,32.59314793711142,30.099646486499697
2052,23.252698630592374,31.996928500289847,29.548112294159385
2053,22.861294299861637,31.45931352748338,29.05018105020071
2054,22.52353847159041,30.995805015584644,28.62018416636855
2055,22.247347684593787,30.617247043695876,28.268171092833033
2056,22.0373042443921,30.32988694432749,27.999963831999757
2057,21.894824157067756,30.13560964260656,27.817370605248062
2058,21.818432528141923,30.03231991593747,27.718535827173433
2059,21.80412544475082,30.014443524816635,27.698399842998704
2060,21.845795732870055,30.073515954101588,27.749239663211632
2061,21.935699462383095,30.19882682113856,27.861261234547715
2062,22.064940574952796,30.378088731553298,28.02321426945412
2063,22.223952411410277,30.59810132602106,28.223002248438398
2064,22.402957069003048,30.845384257013556,28.44826323100643
2065,22.592386280855816,31.106756635129308,28.686901235012545
2066,22.783250732633444,31.369844850723275,28.927552134138345
2067,22.96744813231005,31.623505368876813,29.159971930021023
2068,23.138003617489755,31.858153885278718,29.375339430578983
2069,23.289239268928807,32.065996907224026,29.566469771932777
2070,23.416872781732774,32.24116620343765,29.727939104591233
2071,23.518048478521333,32.379760495543316,29.856124018729705
2072,23.591306422323708,32.47980212375976,29.9491624058731
2073,23.63649732532566,32.541119126649825,30.006845404973323
2074,23.65465235050331,32.56516518196282,30.030452276666214
2075,23.647817802088124,32.55479114930913,30.02254121355904
2076,23.618865107795113,32.51398255323691,29.986709434708107
2077,23.571286440884474,32.447577292131065,29.927335678874815
2078,23.508985860121907,32.36097722171025,29.849317509095787
2079,23.436075020198057,32.25986612673126,29.757814707910786
2080,23.356681392886653,32.149945057967194,29.658008549902718
2081,23.274775614133514,32.03669417763195,29.55488516323598
2082,23.19402310993267,31.925168231058713,29.453049698020536
2083,23.117663628062,31.81983064873797,29.35657613258718
2084,23.048420782636637,31.72442917715413,29.26889505553369
2085,22.98844226600013,31.64191392552022,29.192719575978273
2086,22.93927005072555,31.574396872140376,29.130008213099032
2087,22.901838736151827,31.5231502579471,29.08196258041872
2088,22.876499220597747,31.488639949561765,29.049056539163786
2089,22.86306412258376,31.47058880813436,29.031092498427086
2090,22.86087084148694,31.468064366105672,29.027279719328178
2091,22.868857839236025,31.479584690539248,29.036328818905673
2092,22.88564962991401,31.50323618469904,29.05655642497726
2093,22.90964606562289,31.53679722415564,29.085994316536443
2094,22.93911178051823,31.577861906230318,29.122498225142465
2095,22.972262071709746,31.623958557975282,29.16385230852316
2096,23.00734202391872,31.67265769908628,29.207865898084577
2097,23.042696291176863,31.721664935840415,29.25245962144669
